Id,Show Name,Seasons,Release years,Watch Year,Watch Platform,Short Comment
13,A Gentleman in Moscow,1,2024,2024,Paramount+,"deep, decent"
12,Queen Charlotte: A Bridgerton Story,1,2023,2024,Netflix,"funny, sad"
11,Bridgerton,1,2020,2024,Netflix,funny
10,Cheers,1-2,1982 - 1983,2024,Paramount+,funny
9,Seinfeld,1-2,1989 - 1991,2023 - 2024,Netflix,funny
8,Colin from Accounts,1,2022,2024,Paramount+,funny
7,Star Trek: Strange New Worlds,2,2023,2023,Paramount+,"fancy pictures, good stories"
6,The Offer,1,2022,2023,Paramount+,a great story about making the movie The God Father
5,Star Trek: The Original Series,1,1966 - 1967,2023,Paramount+,"old sci-fi, good stories"
4,Yellowstone,1-2,2018 - 2019,2022 - 2023,Peacock,"sad, western, beautiful"
3,1923,1,2022 - 2023,2022 - 2023,Paramount+,"violent, western, beautiful"
2,Halo,1,2022,2022,Paramount+,intriguing sci-fi
1,1883,1,2021 - 2022,2022,Paramount+,"sad, violent, western"
